@relation unknown

@attribute sentence string
@attribute NER_DATE numeric
@attribute NER_DURATION numeric
@attribute NER_LOCATION numeric
@attribute NER_MISC numeric
@attribute NER_MONEY numeric
@attribute NER_NUMBER numeric
@attribute NER_ORDINAL numeric
@attribute NER_ORGANIZATION numeric
@attribute NER_PERCENT numeric
@attribute NER_PERSON numeric
@attribute NER_SET numeric
@attribute NER_TIME numeric
@attribute 'access control' {yes,no}
@attribute audit {yes,no}
@attribute availability {yes,no}
@attribute 'capacity and performance' {yes,no}
@attribute legal {yes,no}
@attribute 'look and feel' {yes,no}
@attribute maintainability {yes,no}
@attribute operational {yes,no}
@attribute privacy {yes,no}
@attribute reliability {yes,no}
@attribute recoverability {yes,no}
@attribute security {yes,no}
@attribute usability {yes,no}
@attribute 'other nonfunctional' {yes,no}
@attribute 'database design' {yes,no}
@attribute functional {yes,no}
@attribute documentID string

@data
'(2) Implementation specifications: Minimum necessary uses of protected health information.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(i) A covered entity must identify:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(A) Those persons or classes of persons, as appropriate, in its workforce who need access to protected health information to carry out their duties; and',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,45CFRhipaa
'(B) For each such person or class of persons, the category or categories of protected health information to which access is needed and any conditions appropriate to such access.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,45CFRhipaa
'(ii) A covered entity must make reasonable efforts to limit the access of such persons or classes identified in paragraph (d)(2)(i)(A) of this section to protected health information consistent with paragraph (d)(2)(i)(B) of this section.',0,0,0,0,0,1,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,45CFRhipaa
'(3) Implementation specification: Minimum necessary disclosures of protected health information.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(i) For any type of disclosure that it makes on a routine and recurring basis, a covered entity must implement policies and procedures (which may be standard protocols) that limit the protected health information disclosed to the amount reasonably necessary to achieve the purpose of the disclosure.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,45CFRhipaa
'(ii) For all other disclosures, a covered entity must:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(A) Develop criteria designed to limit the protected health information disclosed to the information reasonably necessary to accomplish the purpose for which disclosure is sought; and',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,45CFRhipaa
'(B) Review requests for disclosure on an individual basis in accordance with such criteria.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(iii) A covered entity may rely, if such reliance is reasonable under the circumstances, on a requested disclosure as the minimum necessary for the stated purpose when:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(A) Making disclosures to public officials that are permitted under §164.512, if the public official represents that the information requested is the minimum necessary for the stated purpose(s);',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(B) The information is requested by another covered entity;',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(C) The information is requested by a professional who is a member of its workforce or is a business associate of the covered entity for the purpose of providing professional services to the covered entity, if the professional represents that the information requested is the minimum necessary for the stated purpose(s); or',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(D) Documentation or representations that comply with the applicable requirements of §164.512(i) have been provided by a person requesting the information for research purposes.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(4) Implementation specifications: Minimum necessary requests for protected health information.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(i) A covered entity must limit any request for protected health information to that which is reasonably necessary to accomplish the purpose for which the request is made, when requesting such information from other covered entities.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,45CFRhipaa
'(ii) For a request that is made on a routine and recurring basis, a covered entity must implement policies and procedures (which may be standard protocols) that limit the protected health information requested to the amount reasonably necessary to accomplish the purpose for which the request is made.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,45CFRhipaa
'(iii) For all other requests, a covered entity must:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(A) Develop criteria designed to limit the request for protected health information to the information reasonably necessary to accomplish the purpose for which the request is made; and',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,45CFRhipaa
'(B) Review requests for disclosure on an individual basis in accordance with such criteria.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,45CFRhipaa
'(5) Implementation specification: Other content requirement.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'For all uses, disclosures, or requests to which the requirements in paragraph (d) of this section apply, a covered entity may not use, disclose or request an entire medical record, except when the entire medical record is specifically justified as the amount that is reasonably necessary to accomplish the purpose of the use, disclosure, or request.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,45CFRhipaa
'(e)(1) Standard: Limited data set.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'A covered entity may use or disclose a limited data set that meets the requirements of paragraphs (e)(2) and (e)(3) of this section, if the covered entity enters into a data use agreement with the limited data set recipient, in accordance with paragraph (e)(4) of this section.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,45CFRhipaa
'(2) Implementation specification: Limited data set.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'A limited data set is protected health information  that excludes the following direct identifiers of the individual or of relatives, employers, or household members of the individual:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(i) Names;',0,0,0,1,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(ii) Postal address information, other than town or city, State, and zip code;',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(iii) Telephone numbers;',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(iv) Fax numbers;',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(v) Electronic mail addresses;',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(vi) Social security numbers;',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(vii) Medical record numbers;',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(viii) Health plan beneficiary numbers;',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(ix) Account numbers;',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(x) Certificate or license numbers;',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(xi) Vehicle identifiers and serial numbers, including license plate numbers;',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(xii) Device identifiers and serial numbers;',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(xiii) Web Universal Resource Locators (URLs);',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(xiv) Internet Protocol (IP) address numbers;',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(xv) Biometric identifiers, including finger and voice prints; and',0,0,0,1,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(xvi) Full face photographic images and any comparable images.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(3) Implementation specification: Permitted purposes for uses and disclosures.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(i) A covered entity may use or disclose a limited data set under paragraph (e)(1) of this section only for the purposes of research, public health, or health care operations.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,45CFRhipaa
'(ii) A covered entity may use protected health information to create a limited data set that meets the requirements of paragraph (e)(2) of this section, or disclose protected health information only to a business associate for such purpose, whether or not the limited data set is to be used by the covered entity.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,45CFRhipaa
'(4) Implementation specifications: Data use agreement.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(i) Agreement required.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'A covered entity may use or disclose a limited data set under paragraph (e)(1) of this section only if the covered entity obtains satisfactory assurance, in the form of a data use agreement that meets the requirements of this section, that the limited data set recipient will only use or disclose the protected health information for limited purposes.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,45CFRhipaa
'(ii) Contents.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'A data use agreement between the covered entity and the limited data set recipient must:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(A) Establish the permitted uses and disclosures of such information by the limited data set recipient, consistent with paragraph (e)(3) of this section.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,45CFRhipaa
'The data use agreement may not authorize the limited data set recipient to use or further disclose the information in a manner that would violate the requirements of this subpart, if done by the covered entity;',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,45CFRhipaa
'(B) Establish who is permitted to use or receive the limited data set; and',0,0,0,0,0,0,0,0,0,0,0,0,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(C) Provide that the limited data set recipient will:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(1) Not use or further disclose the information other than as permitted by the data use agreement or as otherwise required by law;',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,45CFRhipaa
'(2) Use appropriate safeguards to prevent use or disclosure of the information other than as provided for by the data use agreement;',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,yes,no,no,no,no,45CFRhipaa
'(3) Report to the covered entity any use or disclosure of the information not provided for by its data use agreement of which it becomes aware;',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,45CFRhipaa
'(4) Ensure that any agents, including a subcontractor, to whom it provides the limited data set agrees to the same restrictions and conditions that apply to the limited data set recipient with respect to such information; and',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,45CFRhipaa
'(5) Not identify the information or contact the individuals.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(iii) Compliance.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(A) A covered entity is not in compliance with the standards in paragraph (e) of this section if the covered entity knew of a pattern of activity or practice of the limited data set recipient that constituted a material breach or violation of the data use agreement, unless the covered entity took reasonable steps to cure the breach or end the violation, as applicable, and, if such steps were unsuccessful:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,45CFRhipaa
'(1) Discontinued disclosure of protected health information to the recipient; and',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(2) Reported the problem to the Secretary.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(B) A covered entity that is a limited data set recipient and violates a data use agreement will be in noncompliance with the standards, implementation specifications, and requirements of paragraph (e) of this section.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,45CFRhipaa
'(f)(1) Standard: Uses and disclosures for fundraising.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'A covered entity may use, or disclose to a business associate or to an institutionally related foundation, the following protected health information for the purpose of raising funds for its own benefit, without an authorization meeting the requirements of §164.508:',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,45CFRhipaa
'(i) Demographic information relating to an individual; and',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(ii) Dates of health care provided to an individual.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(2) Implementation specifications: Fundraising requirements.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(i) The covered entity may not use or disclose protected health information for fundraising purposes as otherwise permitted by paragraph (f)(1) of this section unless a statement required by §164.520(b)(1)(iii)(B) is included in the covered entity\'s notice;',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,45CFRhipaa
'(ii) The covered entity must include in any fundraising materials it sends to an individual under this paragraph a description of how the individual may opt out of receiving any further fundraising communications.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,45CFRhipaa
'(iii) The covered entity must make reasonable efforts to ensure that individuals who decide to opt out of receiving future fundraising communications are not sent such communications.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,45CFRhipaa
'(g) Standard: Uses and disclosures for underwriting and related purposes.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'If a health plan receives protected heath information for the purpose of underwriting, premium rating, or other activities relating to the creation, renewal, or replacement of a contract of health insurance or health benefits, and if such health insurance or health benefits are not placed with the health plan, such health plan may not use or disclose such protected health information for any other purpose, except as may be required by law.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,45CFRhipaa
'(h)(1) Standard: Verification requirements.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'Prior to any disclosure permitted by this subpart, a covered entity must:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(i) Except with respect to disclosures under §164.510, verify the identity of a person requesting protected health information and the authority of any such person to have access to protected health information under this subpart, if the identity or any such authority of such person is not known to the covered entity; and',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,45CFRhipaa
'(ii) Obtain any documentation, statements, or representations, whether oral or written, from the person requesting the protected health information when such documentation, statement, or representation is a condition of the disclosure under this subpart.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,45CFRhipaa
'(2) Implementation specifications: Verification.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(i) Conditions on disclosures.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'conditioned by this subpart on particular documentation, statements, or representations from the person requesting the protected health information, a covered entity may rely, if such reliance is reasonable under the circumstances, on documentation, statements, or representations that, on their face, meet the applicable requirements.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,45CFRhipaa
'(A) The conditions in §164.512(f)(1)(ii)(C) may be satisfied by the administrative subpoena or similar process or by a separate written statement that, on its face, demonstrates that the applicable requirements have been met.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(B) The documentation required by §164.512(i)(2) may be satisfied by one or more written statements, provided that each is appropriately dated and signed in accordance with §164.512(i)(2)(i) and (v).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(ii) Identity of public officials.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'A covered entity may rely, if such reliance is reasonable under the circumstances, on any of the following to verify identity when the disclosure of protected health information is to a public official or a person acting on behalf of the public official:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,45CFRhipaa
'(A) If the request is made in person, presentation of an agency identification badge, other official credentials, or other proof of government status;',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(B) If the request is in writing, the request is on the appropriate government letterhead; or',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(C) If the disclosure is to a person acting on behalf of a public official, a written statement on appropriate government letterhead that the person is acting under the government\'s authority or other evidence or documentation of agency, such as a contract for services, memorandum of understanding, or purchase order, that establishes that the person is acting on behalf of the public official.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(iii) Authority of public officials.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'A covered entity may rely, if such reliance is reasonable under the circumstances, on any of the following to verify authority when the disclosure of protected health information is to a public official or a person acting on behalf of the public official:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,45CFRhipaa
'(A) A written statement of the legal authority under which the information is requested, or, if a written statement would be impracticable, an oral statement of such legal authority;',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(B) If a request is made pursuant to legal process, warrant, subpoena, order, or other legal process issued by a grand jury or a judicial or administrative  tribunal is presumed to constitute legal authority.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(iv) Exercise of professional judgment.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,45CFRhipaa
'The verification requirements of this paragraph are met if the covered entity relies on the exercise of professional judgment in making a use or disclosure in accordance with §164.510 or acts on a good faith belief in making a disclosure in accordance with §164.512(j).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'§ 164.520 Notice of privacy practices for protected health information.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(a) Standard: notice of privacy practices.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(1) Right to notice.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'Except as provided by paragraph (a)(2) or (3) of this section, an individual has a right to adequate notice of the uses and disclosures of protected health information that may be made by the covered entity, and of the individual\'s rights and the covered entity\'s legal duties with respect to protected health information.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,45CFRhipaa
'(2) Exception for group health plans.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(i) An individual enrolled in a group health plan has a right to notice:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(A) From the group health plan, if, and to the extent that, such an individual does not receive health benefits under the group health plan through an insurance contract with a health insurance issuer or HMO; or',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(B) From the health insurance issuer or HMO with respect to the group health plan through which such individuals receive their health benefits under the group health plan.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(ii) A group health plan that provides health benefits solely through an insurance contract with a health insurance issuer or HMO, and that creates or receives protected health information in addition to summary health information as defined in §164.504(a) or information on whether the individual is participating in the group health plan, or is enrolled in or has disenrolled from a health insurance issuer or HMO offered by the plan, must:',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(A) Maintain a notice under this section; and',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(B) Provide such notice upon request to any person.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'The provisions of paragraph (c)(1) of this section do not apply to such group health plan.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(iii) A group health plan that provides health benefits solely through an insurance contract with a health insurance issuer or HMO, and does not create or receive protected health information other than summary health information as defined in §164.504(a) or information on whether an individual is participating in the group health plan, or is enrolled in or has disenrolled from a health insurance issuer or HMO offered by the plan, is not required to maintain or provide a notice under this section.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,45CFRhipaa
'(3) Exception for inmates.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'An inmate does not have a right to notice under this section, and the requirements of this section do not apply to a correctional institution that is a covered entity.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(b) Implementation specifications: Content of notice.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(1) Required elements.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'The covered entity must provide a notice that is written in plain language and that contains the elements required by this paragraph.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,45CFRhipaa
'(i) Header.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'The notice must contain the following statement as a header or otherwise prominently displayed: \"THIS NOTICE DESCRIBES HOW MEDICAL INFORMATION ABOUT YOU MAY BE USED AND DISCLOSED AND HOW YOU CAN GET ACCESS TO THIS INFORMATION.',1,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,45CFRhipaa
'PLEASE REVIEW IT CAREFULLY.\"',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(ii) Uses and disclosures.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'The notice must contain:',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'(A) A description, including at least one example, of the types of uses and disclosures that the covered entity is permitted by this subpart to make for each of the following purposes: treatment, payment, and health care operations.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,45CFRhipaa
'(B) A description of each of the other purposes for which the covered entity is permitted or required by this subpart to use or disclose protected health information without the individual\'s written authorization.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,45CFRhipaa
'(C) If a use or disclosure for any purpose described in paragraphs (b)(1)(ii)(A) or (B) of this section is prohibited or materially limited by other applicable law, the description of such use or disclosure must reflect the more stringent law as defined in §160.202 of this subchapter.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,45CFRhipaa
'(D) For each purpose described in paragraph (b)(1)(ii)(A) or (B) of this section, the description must include sufficient detail to place the individual on notice of the uses and disclosures that are permitted or required by this subpart and other applicable law.',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,45CFRhipaa
'(E) A statement that other uses and disclosures will be made only with the individual\'s written authorization and that the individual may revoke such authorization as provided by §164.508(b)(5).',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,45CFRhipaa
'(iii) Separate statements for certain uses or disclosures.',0,0,0,0,0,0,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,45CFRhipaa
'If the covered entity intends to engage in any of the following activities, the description required by paragraph (b)(1)(ii)(A) of this section must include a separate statement, as applicable, that:',0,0,0,0,0,1,0,0,0,0,0,0,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,45CFRhipaa
